,,Growth Data for unknown individual (male),,,
,,,,,
age (years),height (cm),age increment (years),height increment (cm),"whole year velocity (height increment/age increment), (cm/year)","age center ((Age 1 + Age 2)/2), (years)"
7.45,124.00,-,-,-,-
8.41,128.50,0.96,4.50,4.71,7.93
9.39,133.00,0.98,4.50,4.58,8.90
10.33,139.00,0.94,6.00,6.36,9.86
11.42,144.20,1.09,5.20,4.77,10.88
12.36,150.60,0.94,6.40,6.81,11.89
13.29,157.90,0.93,7.30,7.86,12.83
14.39,168.50,1.10,10.60,9.65,13.84
15.32,171.80,0.93,3.30,3.54,14.86
16.34,174.00,1.02,2.20,2.17,15.83
